semaforo,localizacao1,localizacao2,bairro,latitude,longitude,tipo,funcionamento,Unnamed: 8,status
329,Rua Ernesto de Paula Santos,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.124460,-34.901516,E/Git,Veicular,1.0,funcionando
330,Rua Ernesto de Paula Santos,Rua Ten. Domingos de Brito,BOA VIAGEM,-8.124127,-34.905228,E/Git,Veicular,1.0,funcionando
331,Rua Ribeiro de Brito,Rua Ten. Domingos de Brito,BOA VIAGEM,-8.122961,-34.905213,E/Git,Veicular,1.0,funcionando
332,Rua Ribeiro de Brito,Av. Fernando Simões Barbosa,BOA VIAGEM,-8.123331,-34.901447,E/Git,Veicular,1.0,funcionando
333,Rua São Miguel,Rua Santos Araújo,AFOGADOS,-8.080316,-34.909456,E/Git,Veicular,1.0,funcionando
334,Rua 21 de Abril,Rua Cosme Viana,AFOGADOS,-8.076993,-34.909194,E/Git,Veic.C/Ped.,1.0,funcionando
335,Av. Fernando Simões Barbosa,Rua Bruno Veloso,BOA VIAGEM,-8.121371,-34.901309,E/Git,Veicular,1.0,funcionando
336,Av. Recife,Em frente ao Hospital Geral de Areias,CAÇOTE,-8.100611,-34.928171,E/Git,Ocasional/Ped.,1.0,funcionando
337,Av. Recife,Em frente ao antigo BOMPREÇO,IPSEP,-8.112517,-34.926508,E/Git,Ocasional/Ped.,1.0,funcionando
338,Av. Domingos Ferreira,Rua Bruno Veloso,BOA VIAGEM,-8.121631,-34.89905,E/Git,Veicular,1.0,funcionando
339,Av. João de Barros,Próximo a Rua Marquês do Paraná,ESPINHEIRO,-8.042850,-34.890702,E/Git,Ocasional/Ped.,1.0,funcionando
340,Cais do Apolo,Em frente à Prefeitura do Recife,BAIRRO DO RECIFE,-8.054344,-34.871957,E/Git,Ocasional/Ped.,1.0,funcionando
341,Rua Jerônimo Vilela,Rua Marquês de Baiapendi,CAMPO GRANDE,-8.025460,-34.882737,E,Veic.C/Ped.Ocas.,1.0,funcionando
342,Rua Cônego Barata,Em frente a APAE,TAMARINEIRA,-8.032080,-34.90266,E/Git,Ocasional/Ped.,1.0,funcionando
343,Av. Cruz Cabugá,Av. Jaime da Fonte,SANTO AMARO,-8.044646,-34.874888,E/Git,Veicular,1.0,funcionando
